line 1 column 12140 - Warning: nested emphasis <em>
line 1 column 12618 - Warning: nested emphasis <em>
line 1 column 13210 - Warning: nested emphasis <em>
line 1 column 13628 - Warning: nested emphasis <em>
line 1 column 14096 - Warning: nested emphasis <em>
line 1 column 14469 - Warning: nested emphasis <em>
line 1 column 15132 - Warning: nested emphasis <em>
line 1 column 1695 - Warning: <a> proprietary attribute "ref"
line 1 column 2434 - Warning: <a> proprietary attribute "ref"
line 1 column 11899 - Warning: <li> proprietary attribute "label"
line 1 column 12417 - Warning: <li> proprietary attribute "label"
line 1 column 12988 - Warning: <li> proprietary attribute "label"
line 1 column 13449 - Warning: <li> proprietary attribute "label"
line 1 column 13994 - Warning: <li> proprietary attribute "label"
line 1 column 14311 - Warning: <li> proprietary attribute "label"
line 1 column 14842 - Warning: <li> proprietary attribute "label"
